NAMA PERUSAHAAN,CURRENT RATIO,DEBT TO EQUITY RATIO,ROA,ROE,NPM
AGRO,1.139816215,7.152246274,-0.089206985,-0.727237308,-1.421457459
PKPK,2.300461125,0.768958011,-0.037871107,-0.066992399,-1.218828669
BUKA ,23.44049339,0.0445623,-0.045088189,-0.047097422,-0.83706042
BEST,3.378082429,0.420506871,-0.014958999,-0.021249361,-0.771724899
BEKS ,1.239754983,4.170924788,-0.020188192,-0.104391624,-0.621767982
BBYB ,1.15848228,6.309853711,-0.03273873,-0.239315324,-0.472167347
DYAN,2.161597709,0.860883241,-0.095646971,-0.177987846,-0.379467865
PUDP,2.527101772,0.654835204,-0.025434367,-0.042089686,-0.377261505
WSBP,1.095452024,10.47646722,-0.027734264,-0.318291374,-0.375073673
ACST,1.879434812,1.137093946,-0.128936006,-0.275548359,-0.360613685
CENT,1.397422645,2.516212935,-0.037139044,-0.130588787,-0.328168036
MARI,2.655202664,0.604155625,-0.047541187,-0.076263463,-0.324644128
WEHA,2.070842465,0.933844176,-0.053103588,-0.102694065,-0.188933826
FOOD,1.734289755,1.36186021,-0.092981877,-0.219610195,-0.147828458
TRUK,3.942309307,0.339869095,-0.036133958,-0.048414773,-0.097397529
ARTO,3.858105629,0.3498821,-0.002969962,-0.004009099,-0.08466698
ASRI,1.741781471,1.348105931,-0.006568891,-0.015424453,-0.080453653
BBKP,1.099664157,10.03369745,-0.004044908,-0.044630292,-0.079621386
PTDU,1.391885466,2.551765976,-0.008928747,-0.031712821,-0.059440366
FREN,1.433493802,2.306838056,-0.010585164,-0.035003423,-0.057801734
LPKR,1.562929446,1.776421552,-0.009219514,-0.025597258,-0.054074422
TOYS,3.585871645,0.386716797,-0.009040148,-0.012536125,-0.038529323
DOID,1.216882501,4.610791539,-0.011567691,-0.064903903,-0.026984548
ASPI,3.451387823,0.407932189,-0.001054646,-0.00148487,-0.017870016
LUCK,5.293368473,0.232917348,-0.006332059,-0.007806906,-0.015519614
IMJS,1.186761542,5.354421418,-0.000873403,-0.005549972,-0.007165633
IMAS,1.344519825,2.902590581,-0.00186952,-0.007295972,-0.006647433
MAPI,16.18293613,0.161581474,-0.003544769,-0.009269083,-0.004952292
INDY,1.301051052,3.321695754,-0.002279959,-0.009853289,-0.003894217
GJTL,1.571031103,1.751218094,0.000805363,0.002215728,0.001386064
PNBS,13.9775116,0.282013951,0.00020035,0.000789749,0.002273795
MAIN,1.592471465,1.687845,0.003465592,0.009314973,0.002779083
ADHI,1.159206075,6.281167343,0.000564551,0.004110592,0.003130355
WOWS,4.751081908,0.266589753,0.000385528,0.000488306,0.003837336
ELSA,2.107845644,0.902652825,0.005315528,0.010113604,0.006566213
BABP,1.163048462,6.133145865,0.000425502,0.003035169,0.006721383
KIOS,40.26780251,0.025466156,0.034618591,0.035500193,0.007882508
WSKT,1.173765753,5.754873913,0.000632157,0.004270138,0.009363594
ZBRA,1.760126363,1.315570737,0.009847197,0.022801881,0.011659546
MLPL,1.428997596,2.331015396,0.005610202,0.018687669,0.011894572
RANC,1.594676496,1.681586555,0.019500865,0.052293257,0.01257268
BRIS ,1.10629761,9.4075492,0.008991314,0.093577548,0.013131878
MCAS,3.81564091,0.355158925,0.064283743,0.087114688,0.013666949
SMBR,2.424315186,0.702091791,0.002857983,0.004864549,0.013697687
BACA,1.081447977,12.27777581,0.000947323,0.012578337,0.014672094
ARKA,1.251859366,3.970469772,0.001619607,0.008050205,0.015004694
PPRO,1.299804168,3.335510671,0.000675407,0.002928235,0.015621985
WIKA,1.348927307,2.865926457,0.002736827,0.010580373,0.016332051
RAJA,1.99566218,1.004356719,0.004853955,0.009729058,0.016444212
AMRT,0.743985169,2.189101023,0.083399715,0.135829671,0.018029607
PTPP,1.338209605,2.956746308,0.003643831,0.014417714,0.018263198
ASSA,1.587040527,1.703459904,0.011788288,0.031869163,0.019972208
WTON,1.675809724,1.479706439,0.006051662,0.015006344,0.020700751
BULL ,1.740017752,1.351318934,0.003417283,0.008035123,0.020705363
JSMR,1.315866243,3.16589703,0.002100677,0.008751205,0.020809033
BOGA ,2.287969233,0.776416062,0.011685732,0.020758721,0.022337653
NPGF,2.113156679,0.898346135,0.011975174,0.022733025,0.022526688
BGTG ,1.174305997,5.737037268,0.000797401,0.005372121,0.023102385
WIFI,2.780033485,0.561787185,0.011082612,0.017308681,0.024769637
MPOW,2.442838558,0.693078234,0.003316543,0.005615166,0.025559268
ERAA,2.250187915,0.799879752,0.071819613,0.129266668,0.025634272
FIRE,3.131374942,0.469180706,0.034186269,0.050225807,0.026574509
COCO,1.667346566,1.498471784,0.014751048,0.036855077,0.027194685
KAEF,1.623889781,1.602847219,0.015637433,0.040701849,0.031041214
ESSA,1.558691444,1.78989675,0.009518417,0.0265554,0.032121855
KRAS,1.126718904,7.891482407,0.015908121,0.141446775,0.03698075
MTDL,2.185828945,0.843291947,0.078366162,0.144451715,0.043826859
GGRM,3.260786279,0.442323987,0.049663717,0.07163117,0.044906458
IPCC,2.188967675,0.841065759,0.008824519,0.016246521,0.047721905
AKRA,2.060477383,0.942971549,0.03924712,0.076256037,0.04848891
JPFA,1.737628571,1.35569586,0.054576249,0.128565043,0.049275474
MYOR,2.221125241,0.81891682,0.049937233,0.090831673,0.0505472
EXCL,1.406488214,2.460095925,0.014819548,0.051277059,0.051332782
RALS,3.776138412,0.360212587,0.021158212,0.028779667,0.05197621
TCPI,2.112536953,0.898846549,0.021931467,0.04164449,0.05315132
SIMP,2.104672075,0.90524602,0.021839616,0.041609841,0.056560331
PPRE,1.721261329,1.386460026,0.015369242,0.036678081,0.056929583
SMGR,2.041688566,0.959979818,0.018845661,0.036937115,0.056996633
WIIM,3.540296733,0.393654799,0.062776974,0.087489432,0.057108316
EMTK,9.270894751,0.120905903,0.020214406,0.022658447,0.05730175
GOOD,1.790689392,1.26471913,0.056838766,0.12872384,0.058169328
ENRG,1.667024368,1.499195603,0.016815198,0.042024468,0.060788383
SMRA,1.719343078,1.390157257,0.009206327,0.022004568,0.061813519
WEGE,1.671738134,1.488675348,0.026271921,0.065382281,0.06185611
TINS,1.680329791,1.469875364,0.044336152,0.109504768,0.063102372
CMNT,0.258030724,3.407399692,0.100456927,0.088323117,0.064449928
ANTM,2.570112463,0.636897053,0.051363861,0.084077352,0.064603534
PMMP,1.391872912,2.55184773,0.032994868,0.117192748,0.066298639
ALDO,2.406857052,0.71080427,0.062073857,0.106196219,0.066708663
RODA,2.458987045,0.685407045,0.005573696,0.009393947,0.067569504
ACES,2.896263471,0.762996889,0.029331914,0.064818837,0.068982155
MDKA,2.831356894,0.546043212,0.015829532,0.024473141,0.070923432
CPIN,3.288901093,0.436890874,0.077027852,0.110680617,0.071158481
MEDC,1.305240477,3.276105483,0.013315663,0.056939177,0.073542421
BBTN ,1.059212952,16.88819693,0.004117302,0.073651115,0.074411748
HMSP,2.277120747,0.783011318,0.113698514,0.202725738,0.076593322
IRRA,2.303635482,0.767085596,0.094593673,0.167155116,0.078173778
APIC,1.522427232,1.914142179,0.021483698,0.062606549,0.080732527
CARE,13.24334296,0.081677039,0.005287921,0.005719823,0.081139169
DSNG,1.876822592,1.140481562,0.030374442,0.065015933,0.08396543
MBSS,8.959106808,0.125642239,0.025295469,0.028473648,0.085540308
AALI,3.257954193,0.442878781,0.052000957,0.075031078,0.085715377
AGII,1.789375885,1.2668236,0.022217102,0.05036225,0.08621347
IPTV,3.191331482,0.456343556,0.022007861,0.032051006,0.087794144
TPIA,2.771935279,0.564354698,0.036085309,0.056450223,0.088073664
BDMN ,1.311840483,3.206767738,0.007800577,0.032815218,0.090940552
IMPC,2.393173382,0.71778575,0.05608319,0.096338904,0.09814293
WOOD,2.128705507,0.885970692,0.054870047,0.103483301,0.101105644
NICL,7.556761152,0.152514325,0.061311981,0.070662937,0.103738111
ZYRX,1.691121237,1.446924138,0.102571173,0.250983878,0.104429616
FILM,27.12101413,0.038283353,0.014835142,0.015403081,0.105018848
ZINC,1.786285645,1.271802437,0.03291658,0.074779966,0.10683831
BUMI,1.081862968,12.21553566,0.019252615,0.254433623,0.107007461
LPPF,1.224460773,4.45512143,0.075955806,0.414348146,0.107397163
INDF,1.930401982,1.074804246,0.046485305,0.096447909,0.109896561
ASII,2.372670523,0.728506938,0.052504148,0.090753784,0.113606767
INTP,1,1.218419609,0.046017445,0.056068557,0.11389363
ISSP,2.226318954,0.815448539,0.064876193,0.117779389,0.116796296
BRPT ,1.919784794,1.087210842,0.030621394,0.063913305,0.116939423
KLBF,5.67639236,0.213840055,0.095781606,0.116263549,0.12169998
MLIA,2.095035345,0.913212532,0.07224122,0.138212807,0.134700291
UNTR,2.684885861,0.593512013,0.072867355,0.116115005,0.139494845
BHIT ,2.372242528,0.728734156,0.027544538,0.047617184,0.142056731
ICBP,1.970388999,1.030514568,0.056676585,0.115082631,0.142690874
BBNI ,1.153376539,6.519901972,0.008453315,0.063568102,0.145788357
UNVR,1.357931182,2.793833144,0.216699343,0.82212115,0.145816268
PGAS,0.516962884,1.292216574,0.150124799,0.10028757,0.146376
SAME,14.81818517,0.072368404,0.03239789,0.034742474,0.148646102
IPCM,4.798706366,0.263247512,0.063513455,0.080233214,0.150887006
TRIM,1.381013365,2.62457985,0.01472063,0.0533561,0.155618361
INKP,2.15555963,0.865381564,0.04534792,0.084591174,0.155899532
MSIN,4.812762375,0.262277032,0.065431429,0.08259259,0.161618356
TAPG,2.556156599,0.642608848,0.061340616,0.100758639,0.165358858
POWR,2.039220098,0.962260066,0.048434005,0.095040113,0.172389552
BBRI ,1.209245963,4.779064726,0.011773279,0.068038541,0.173258812
SMDR,1.873388406,1.144965966,0.114255443,0.245074037,0.174051435
PNBN,1.31691062,3.155463833,0.011474503,0.047681882,0.174304297
INCO,8.223396064,0.138439038,0.051161908,0.058244713,0.179095411
BMTR,3.176396961,0.459475003,0.054776393,0.079944777,0.182113004
CSIS,2.131117484,0.884081463,0.020553497,0.038724464,0.189830336
CTRA,1.865180901,1.155827641,0.031666935,0.068268454,0.190771236
BALI,1.885010736,1.129929796,0.027321994,0.058193929,0.192900762
TECH,10.70415505,0.103048642,0.048275886,0.05325065,0.197751248
BMRI ,1.149337518,6.696240912,0.012853594,0.098924354,0.198846845
BSDE ,2.434010336,0.697345043,0.017177621,0.029156349,0.199798975
ADRO,2.547301952,0.646286266,0.073840693,0.121562919,0.204594339
ITMG,3.200651359,0.454410916,0.179847899,0.261572747,0.205149829
PRIM,6.67045396,0.176352724,0.090400441,0.106342805,0.205486974
PWON,2.790779351,0.558416088,0.027898906,0.043478105,0.211178718
LINK,2.182390958,0.84574395,0.07395905,0.136509469,0.211901956
BMHS,2.938233364,0.515933746,0.111730453,0.169375963,0.213953298
HEAL,2.254872568,0.796893665,0.134079644,0.240926863,0.217072197
BEBS,4.84830472,0.259854682,0.092050612,0.115970394,0.224129423
LSIP,6.353150754,0.186805873,0.063916405,0.075856365,0.22510791
BJTM ,1.136977686,8.415822869,0.01173628,0.112299806,0.225484406
TKIM,2.155888591,0.86513528,0.055976007,0.104402825,0.235944823
TLKM,1.930501931,0.518,0.104109533,0.104109533,0.242005602
ARCI,1.456685546,2.189690495,0.084055835,0.268112098,0.242415851
TBIG,1.300224416,3.330841685,0.026929103,0.116625681,0.245480037
MBAP,2.924014537,0.519746593,0.216916086,0.329657482,0.246508034
SCMA,3.51059254,0.398312344,0.155571514,0.217537568,0.247599739
PTBA,2.882596512,0.531181267,0.150767696,0.230852671,0.250409108
HRUM,1,1.309469714,0.075076851,0.098310862,0.253049881
ISAT,1.368749357,2.711869137,0.08398688,0.311748308,0.254438737
DGNS,5.46385697,0.224021515,0.261428173,0.319993708,0.255053339
MNCN,5.963190447,0.201483302,0.089901076,0.108014642,0.255970226
POLL,1.309090469,3.235298722,0.022372714,0.094755129,0.257863967
BFIN ,1.964355836,1.036961631,0.054353522,0.110716038,0.266894843
CSRA,1.857138118,1.166673118,0.109842691,0.237993205,0.273701993
SSMS,1.727738811,1.374119375,0.077212029,0.183310574,0.280350057
MIKA,7.436479079,0.155364445,0.150618453,0.174019205,0.296454539
SIDO,6.217000972,0.191681007,0.237067337,0.282508643,0.311729409
DMMX,9.007639882,0.124880741,0.217594582,0.244767955,0.316399167
BTPS,1.606877068,1.647780173,0.061597306,0.163096126,0.317963684
BBCA,1.203785598,4.907118114,0.019851013,0.117262279,0.355964262
SMMT,3.470208304,0.404824159,0.131622305,0.184906194,0.392882804
BIPI,1.704737316,1.418968426,0.01909009,0.046178326,0.419510802
TOWR,1.281632485,3.550726761,0.049953861,0.227326372,0.429936576
PNLF,7.081217329,0.16449096,0.043933334,0.051173382,0.433266696
MMLP,7.000332937,0.166657419,0.020467089,0.023878081,0.615272136
BRMS ,7.09514897,0.164064899,0.008816671,0.010263177,0.748725583
SRTG,11.70872662,0.093381784,0.284822142,0.311419341,0.957081543
BBHI,1.229367401,4.359817469,0.01242745,0.066608863,0.96683873
BOLA,9.1928755,0.122057268,0.172315681,0.193348062,1.326608888
